Domain,Type,Sponsoring Organization,Date
.realty,generic,Internet Naming Co.,2025-07-19
.recipes,generic,"Binky Moon, LLC",2025-07-19
.red,generic,Identity Digital Limited,2025-07-19
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2025-07-19
.redumbrella,generic,"Travelers TLD, LLC",2025-07-19
.rehab,generic,"Dog Beach, LLC",2025-07-19
.reise,generic,"Binky Moon, LLC",2025-07-19
.reisen,generic,"Binky Moon, LLC",2025-07-19
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2025-07-19
.reliance,generic,Reliance Industries Limited,2025-07-19
.ren,generic,ZDNS International Limited,2025-07-19
.rent,generic,XYZ.COM LLC,2025-07-19
.rentals,generic,"Binky Moon, LLC",2025-07-19
.repair,generic,"Binky Moon, LLC",2025-07-19
.report,generic,"Binky Moon, LLC",2025-07-19
.republican,generic,"Dog Beach, LLC",2025-07-19
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2025-07-19
.restaurant,generic,"Binky Moon, LLC",2025-07-19
.review,generic,dot Review Limited,2025-07-19
.reviews,generic,"Dog Beach, LLC",2025-07-19
.rexroth,generic,Robert Bosch GMBH,2025-07-19
.rich,generic,iRegistry GmbH,2025-07-19
.richardli,generic,Pacific Century Asset Management (HK) Limited,2025-07-19
.ricoh,generic,"Ricoh Company, Ltd.",2025-07-19
.rightathome,generic,Not assigned,2025-07-19
.ril,generic,Reliance Industries Limited,2025-07-19
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2025-07-19
.rip,generic,"Dog Beach, LLC",2025-07-19
.rmit,generic,Not assigned,2025-07-19
.rocher,generic,Not assigned,2025-07-19
.rocks,generic,"Dog Beach, LLC",2025-07-19
.rodeo,generic,"Registry Services, LLC",2025-07-19
.rogers,generic,Rogers Communications Canada Inc.,2025-07-19
.room,generic,"Amazon Registry Services, Inc.",2025-07-19
.rsvp,generic,Charleston Road Registry Inc.,2025-07-19
.rugby,generic,World Rugby Strategic Developments Limited,2025-07-19
.ruhr,generic,dotSaarland GmbH,2025-07-19
.run,generic,"Binky Moon, LLC",2025-07-19
.rwe,generic,RWE AG,2025-07-19
.ryukyu,generic,"BRregistry, Inc.",2025-07-19
.saarland,generic,dotSaarland GmbH,2025-07-19
.safe,generic,"Amazon Registry Services, Inc.",2025-07-19
.safety,generic,"Safety Registry Services, LLC.",2025-07-19
.sakura,generic,SAKURA internet Inc.,2025-07-19
.sale,generic,"Dog Beach, LLC",2025-07-19
.salon,generic,"Binky Moon, LLC",2025-07-19
.samsclub,generic,"Wal-Mart Stores, Inc.",2025-07-19
.samsung,generic,"SAMSUNG SDS CO., LTD",2025-07-19
.sandvik,generic,Sandvik AB,2025-07-19
.sandvikcoromant,generic,Sandvik AB,2025-07-19
.sanofi,generic,Sanofi,2025-07-19
.sap,generic,SAP AG,2025-07-19
.sapo,generic,Not assigned,2025-07-19
.sarl,generic,"Binky Moon, LLC",2025-07-19
.sas,generic,Research IP LLC,2025-07-19
.save,generic,"Amazon Registry Services, Inc.",2025-07-19
.saxo,generic,Saxo Bank A/S,2025-07-19
.sbi,generic,STATE BANK OF INDIA,2025-07-19
.sbs,generic,Shortdot SA,2025-07-19
.sca,generic,Not assigned,2025-07-19
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2025-07-19
.schaeffler,generic,Schaeffler Technologies AG & Co. KG,2025-07-19
.schmidt,generic,SCHMIDT GROUPE S.A.S.,2025-07-19
.scholarships,generic,"Scholarships.com, LLC",2025-07-19
.school,generic,"Binky Moon, LLC",2025-07-19
.schule,generic,"Binky Moon, LLC",2025-07-19
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2025-07-19
.science,generic,dot Science Limited,2025-07-19
.scjohnson,generic,Not assigned,2025-07-19
.scor,generic,Not assigned,2025-07-19
.scot,generic,Dot Scot Registry Limited,2025-07-19
.search,generic,Charleston Road Registry Inc.,2025-07-19
.seat,generic,"SEAT, S.A. (Sociedad Unipersonal)",2025-07-19
.secure,generic,"Amazon Registry Services, Inc.",2025-07-19
.security,generic,XYZ.COM LLC,2025-07-19
.seek,generic,Seek Limited,2025-07-19
.select,generic,"Registry Services, LLC",2025-07-19
.sener,generic,"Sener Ingeniería y Sistemas, S.A.",2025-07-19
.services,generic,"Binky Moon, LLC",2025-07-19
.ses,generic,Not assigned,2025-07-19
.seven,generic,Seven West Media Ltd,2025-07-19
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2025-07-19
.sex,generic,ICM Registry SX LLC,2025-07-19
.sexy,generic,Internet Naming Co.,2025-07-19
.sfr,generic,Societe Francaise du Radiotelephone - SFR,2025-07-19
.shangrila,generic,Shangri-La International Hotel Management Limited,2025-07-19
.sharp,generic,Sharp Corporation,2025-07-19
.shaw,generic,Not assigned,2025-07-19
.shell,generic,Shell Information Technology International Inc,2025-07-19
.shia,generic,Emergency Back-End Registry Operator Program - ICANN,2025-07-19
.shiksha,generic,Identity Digital Limited,2025-07-19
.shoes,generic,"Binky Moon, LLC",2025-07-19
.shop,generic,"GMO Registry, Inc.",2025-07-19
.shopping,generic,"Binky Moon, LLC",2025-07-19
.shouji,generic,QIHOO 360 TECHNOLOGY CO. LTD.,2025-07-19
.show,generic,"Binky Moon, LLC",2025-07-19
.showtime,generic,Not assigned,2025-07-19
.shriram,generic,Not assigned,2025-07-19
.silk,generic,"Amazon Registry Services, Inc.",2025-07-19
.sina,generic,Sina Corporation,2025-07-19
.singles,generic,"Binky Moon, LLC",2025-07-19
.site,generic,Radix Technologies Inc. SEZC,2025-07-19
.ski,generic,Identity Digital Limited,2025-07-19
.skin,generic,XYZ.COM LLC,2025-07-19
.sky,generic,Sky UK Limited,2025-07-19
.skype,generic,Microsoft Corporation,2025-07-19
.sling,generic,DISH Technologies L.L.C.,2025-07-19
.smart,generic,"Smart Communications, Inc. (SMART)",2025-07-19
.smile,generic,"Amazon Registry Services, Inc.",2025-07-19
.sncf,generic,Société Nationale SNCF,2025-07-19
.soccer,generic,"Binky Moon, LLC",2025-07-19
.social,generic,"Dog Beach, LLC",2025-07-19
.softbank,generic,SoftBank Group Corp.,2025-07-19
.software,generic,"Dog Beach, LLC",2025-07-19
.sohu,generic,Sohu.com Limited,2025-07-19
.solar,generic,"Binky Moon, LLC",2025-07-19
.solutions,generic,"Binky Moon, LLC",2025-07-19
.song,generic,"Amazon Registry Services, Inc.",2025-07-19
.sony,generic,Sony Corporation,2025-07-19
.soy,generic,Charleston Road Registry Inc.,2025-07-19
.spa,generic,Asia Spa and Wellness Promotion Council Limited,2025-07-19
.space,generic,Radix Technologies Inc.,2025-07-19
.spiegel,generic,Not assigned,2025-07-19
.sport,generic,SportAccord,2025-07-19
.spot,generic,"Amazon Registry Services, Inc.",2025-07-19
.spreadbetting,generic,Not assigned,2025-07-19
.srl,generic,InterNetX Corp.,2025-07-19
.srt,generic,Not assigned,2025-07-19
.stada,generic,STADA Arzneimittel AG,2025-07-19
.staples,generic,"Staples, Inc.",2025-07-19
.star,generic,Star India Private Limited,2025-07-19
.starhub,generic,Not assigned,2025-07-19
.statebank,generic,STATE BANK OF INDIA,2025-07-19
.statefarm,generic,State Farm Mutual Automobile Insurance Company,2025-07-19
.statoil,generic,Not assigned,2025-07-19
.stc,generic,Saudi Telecom Company,2025-07-19
.stcgroup,generic,Saudi Telecom Company,2025-07-19
.stockholm,generic,Stockholms kommun,2025-07-19
.storage,generic,XYZ.COM LLC,2025-07-19
.store,generic,Radix Technologies Inc.,2025-07-19
.stream,generic,dot Stream Limited,2025-07-19
.studio,generic,"Dog Beach, LLC",2025-07-19
.study,generic,"Registry Services, LLC",2025-07-19
.style,generic,"Binky Moon, LLC",2025-07-19
.sucks,generic,Vox Populi Registry Ltd.,2025-07-19
.supplies,generic,"Binky Moon, LLC",2025-07-19
.supply,generic,"Binky Moon, LLC",2025-07-19
.support,generic,"Binky Moon, LLC",2025-07-19
.surf,generic,"Registry Services, LLC",2025-07-19
.surgery,generic,"Binky Moon, LLC",2025-07-19
.suzuki,generic,SUZUKI MOTOR CORPORATION,2025-07-19
.swatch,generic,The Swatch Group Ltd,2025-07-19
.swiftcover,generic,Not assigned,2025-07-19
.swiss,generic,Swiss Confederation,2025-07-19
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2025-07-19
.symantec,generic,Not assigned,2025-07-19
.systems,generic,"Binky Moon, LLC",2025-07-19
.tab,generic,Tabcorp Holdings Limited,2025-07-19
.taipei,generic,Taipei City Government,2025-07-19
.talk,generic,"Amazon Registry Services, Inc.",2025-07-19
.taobao,generic,Alibaba Group Holding Limited,2025-07-19
.target,generic,"Target Domain Holdings, LLC",2025-07-19
.tatamotors,generic,Tata Motors Ltd,2025-07-19
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2025-07-19
.tattoo,generic,"Registry Services, LLC",2025-07-19
.tax,generic,"Binky Moon, LLC",2025-07-19
.taxi,generic,"Binky Moon, LLC",2025-07-19
.tci,generic,Emergency Back-End Registry Operator Program - ICANN,2025-07-19
.tdk,generic,TDK Corporation,2025-07-19
.team,generic,"Binky Moon, LLC",2025-07-19
.tech,generic,Radix Technologies Inc.,2025-07-19
.technology,generic,"Binky Moon, LLC",2025-07-19
.telecity,generic,Not assigned,2025-07-19
.telefonica,generic,Not assigned,2025-07-19
.temasek,generic,Temasek Holdings (Private) Limited,2025-07-19
.tennis,generic,"Binky Moon, LLC",2025-07-19
.teva,generic,Teva Pharmaceutical Industries Limited,2025-07-19
.thd,generic,"Home Depot Product Authority, LLC",2025-07-19
.theater,generic,"Binky Moon, LLC",2025-07-19
.theatre,generic,XYZ.COM LLC,2025-07-19
.tiaa,generic,Teachers Insurance and Annuity Association of America,2025-07-19
.tickets,generic,XYZ.COM LLC,2025-07-19
.tienda,generic,"Binky Moon, LLC",2025-07-19
.tiffany,generic,Not assigned,2025-07-19
.tips,generic,"Binky Moon, LLC",2025-07-19
.tires,generic,"Binky Moon, LLC",2025-07-19
.tirol,generic,punkt Tirol GmbH,2025-07-19
.tjmaxx,generic,"The TJX Companies, Inc.",2025-07-19
.tjx,generic,"The TJX Companies, Inc.",2025-07-19
.tkmaxx,generic,"The TJX Companies, Inc.",2025-07-19
.tmall,generic,Alibaba Group Holding Limited,2025-07-19
.today,generic,"Binky Moon, LLC",2025-07-19
.tokyo,generic,"GMO Registry, Inc.",2025-07-19
.tools,generic,"Binky Moon, LLC",2025-07-19
.top,generic,.TOP Registry,2025-07-19
.toray,generic,"Toray Industries, Inc.",2025-07-19
.toshiba,generic,TOSHIBA Corporation,2025-07-19
.total,generic,TotalEnergies SE,2025-07-19
.tours,generic,"Binky Moon, LLC",2025-07-19
.town,generic,"Binky Moon, LLC",2025-07-19
.toyota,generic,TOYOTA MOTOR CORPORATION,2025-07-19
.toys,generic,"Binky Moon, LLC",2025-07-19
.trade,generic,Elite Registry Limited,2025-07-19
.trading,generic,"Dog Beach, LLC",2025-07-19
.training,generic,"Binky Moon, LLC",2025-07-19
.travelchannel,generic,Not assigned,2025-07-19
.travelers,generic,"Travelers TLD, LLC",2025-07-19
.travelersinsurance,generic,"Travelers TLD, LLC",2025-07-19
.trust,generic,Internet Naming Co.,2025-07-19
.trv,generic,"Travelers TLD, LLC",2025-07-19
.tube,generic,Latin American Telecom LLC,2025-07-19
.tui,generic,TUI AG,2025-07-19
.tunes,generic,"Amazon Registry Services, Inc.",2025-07-19
.tushu,generic,"Amazon Registry Services, Inc.",2025-07-19
.tvs,generic,T V SUNDRAM IYENGAR  & SONS PRIVATE LIMITED,2025-07-19
.ubank,generic,National Australia Bank Limited,2025-07-19
.ubs,generic,UBS AG,2025-07-19
.uconnect,generic,Not assigned,2025-07-19
.unicom,generic,China United Network Communications Corporation Limited,2025-07-19
.university,generic,"Binky Moon, LLC",2025-07-19
.uno,generic,Radix Technologies Inc.,2025-07-19
.uol,generic,UBN INTERNET LTDA.,2025-07-19
.ups,generic,"UPS Market Driver, Inc.",2025-07-19
.vacations,generic,"Binky Moon, LLC",2025-07-19
.vana,generic,D3 Registry LLC,2025-07-19
.vanguard,generic,"The Vanguard Group, Inc.",2025-07-19
.vegas,generic,"Dot Vegas, Inc.",2025-07-19
.ventures,generic,"Binky Moon, LLC",2025-07-19
.verisign,generic,"VeriSign, Inc.",2025-07-19
.versicherung,generic,tldbox GmbH,2025-07-19
.vet,generic,"Dog Beach, LLC",2025-07-19
.viajes,generic,"Binky Moon, LLC",2025-07-19
.video,generic,"Dog Beach, LLC",2025-07-19
.vig,generic,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe,2025-07-19
.viking,generic,Viking River Cruises (Bermuda) Ltd.,2025-07-19
.villas,generic,"Binky Moon, LLC",2025-07-19
.vin,generic,"Binky Moon, LLC",2025-07-19
.vip,generic,"Registry Services, LLC",2025-07-19
.virgin,generic,Virgin Enterprises Limited,2025-07-19
.visa,generic,Visa Worldwide Pte. Limited,2025-07-19
.vision,generic,"Binky Moon, LLC",2025-07-19
.vista,generic,Not assigned,2025-07-19
.vistaprint,generic,Not assigned,2025-07-19
.viva,generic,Saudi Telecom Company,2025-07-19
.vivo,generic,Telefonica Brasil S.A.,2025-07-19
.vlaanderen,generic,DNS.be vzw,2025-07-19
.vodka,generic,"Registry Services, LLC",2025-07-19
.volkswagen,generic,Not assigned,2025-07-19
.volvo,generic,Volvo Holding Sverige Aktiebolag,2025-07-19
.vote,generic,Monolith Registry LLC,2025-07-19
.voting,generic,Valuetainment Corp.,2025-07-19
.voto,generic,Monolith Registry LLC,2025-07-19
.voyage,generic,"Binky Moon, LLC",2025-07-19
.vuelos,generic,Not assigned,2025-07-19
.wales,generic,Nominet UK,2025-07-19
.walmart,generic,"Wal-Mart Stores, Inc.",2025-07-19
.walter,generic,Sandvik AB,2025-07-19
.wang,generic,Zodiac Wang Limited,2025-07-19
.wanggou,generic,"Amazon Registry Services, Inc.",2025-07-19
.warman,generic,Not assigned,2025-07-19
.watch,generic,"Binky Moon, LLC",2025-07-19
.watches,generic,Identity Digital Limited,2025-07-19
.weather,generic,International Business Machines Corporation,2025-07-19
.weatherchannel,generic,International Business Machines Corporation,2025-07-19
.webcam,generic,dot Webcam Limited,2025-07-19
.weber,generic,Saint-Gobain Weber SA,2025-07-19
.website,generic,Radix Technologies Inc.,2025-07-19
.wed,generic,Emergency Back-End Registry Operator Program - ICANN,2025-07-19
.wedding,generic,"Registry Services, LLC",2025-07-19
.weibo,generic,Sina Corporation,2025-07-19
.weir,generic,Weir Group IP Limited,2025-07-19
.whoswho,generic,Who's Who Registry,2025-07-19
.wien,generic,punkt.wien GmbH,2025-07-19
.wiki,generic,"Registry Services, LLC",2025-07-19
.williamhill,generic,William Hill Organization Limited,2025-07-19
.win,generic,First Registry Limited,2025-07-19
.windows,generic,Microsoft Corporation,2025-07-19
.wine,generic,"Binky Moon, LLC",2025-07-19
.winners,generic,"The TJX Companies, Inc.",2025-07-19
.wme,generic,"William Morris Endeavor Entertainment, LLC",2025-07-19
.wolterskluwer,generic,Wolters Kluwer N.V.,2025-07-19
.woodside,generic,Woodside Petroleum Limited,2025-07-19
.work,generic,"Registry Services, LLC",2025-07-19
.works,generic,"Binky Moon, LLC",2025-07-19
.world,generic,"Binky Moon, LLC",2025-07-19
.wow,generic,"Amazon Registry Services, Inc.",2025-07-19
.wtc,generic,"World Trade Centers Association, Inc.",2025-07-19
.wtf,generic,"Binky Moon, LLC",2025-07-19
.xbox,generic,Microsoft Corporation,2025-07-19
.xerox,generic,Xerox DNHC LLC,2025-07-19
.xfinity,generic,Not assigned,2025-07-19
.xihuan,generic,QIHOO 360 TECHNOLOGY CO. LTD.,2025-07-19
.xin,generic,Elegant Leader Limited,2025-07-19
.कॉम,generic,VeriSign Sarl,2025-07-19
.セール,generic,"Amazon Registry Services, Inc.",2025-07-19
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2025-07-19
.慈善,generic,Excellent First Limited,2025-07-19
.集团,generic,Eagle Horizon Limited,2025-07-19
.在线,generic,Beijing Tld Registry Technology Limited,2025-07-19
.大众汽车,generic,Not assigned,2025-07-19
.点看,generic,VeriSign Sarl,2025-07-19
.คอม,generic,VeriSign Sarl,2025-07-19
.八卦,generic,Zodiac Gemini Ltd,2025-07-19
‏.موقع‎,generic,Helium TLDs Ltd,2025-07-19
.公益,generic,China Organizational Name Administration Center,2025-07-19
.公司,generic,China Internet Network Information Center (CNNIC),2025-07-19
.香格里拉,generic,Shangri-La International Hotel Management Limited,2025-07-19
.网站,generic,Global Website TLD Asia Limited,2025-07-19
.移动,generic,Identity Digital Limited,2025-07-19
.我爱你,generic,Tycoon Treasure Limited,2025-07-19
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2025-07-19
.католик,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),2025-07-19
.онлайн,generic,CORE Association,2025-07-19
.сайт,generic,CORE Association,2025-07-19
.联通,generic,China United Network Communications Corporation Limited,2025-07-19
‏.קום‎,generic,VeriSign Sarl,2025-07-19
.时尚,generic,RISE VICTORY LIMITED,2025-07-19
.微博,generic,Sina Corporation,2025-07-19
.淡马锡,generic,Temasek Holdings (Private) Limited,2025-07-19
.ファッション,generic,"Amazon Registry Services, Inc.",2025-07-19
.орг,generic,Public Interest Registry,2025-07-19
.नेट,generic,VeriSign Sarl,2025-07-19
.ストア,generic,"Amazon Registry Services, Inc.",2025-07-19
.アマゾン,generic,"Amazon Registry Services, Inc.",2025-07-19
.삼성,generic,"SAMSUNG SDS CO., LTD",2025-07-19
.商标,generic,Internet DotTrademark Organisation Limited,2025-07-19
.商店,generic,"Binky Moon, LLC",2025-07-19
.商城,generic,Zodiac Aquarius Limited,2025-07-19
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2025-07-19
.ポイント,generic,"Amazon Registry Services, Inc.",2025-07-19
.新闻,generic,"Guangzhou YU Wei Information and Technology Co.,Ltd",2025-07-19
.工行,generic,Not assigned,2025-07-19
.家電,generic,"Amazon Registry Services, Inc.",2025-07-19
‏.كوم‎,generic,VeriSign Sarl,2025-07-19
.中文网,generic,TLD REGISTRY LIMITED,2025-07-19
.中信,generic,CITIC Group Corporation,2025-07-19
.娱乐,generic,"Binky Moon, LLC",2025-07-19
.谷歌,generic,Charleston Road Registry Inc.,2025-07-19
.電訊盈科,generic,PCCW Enterprises Limited,2025-07-19
.购物,generic,"Nawang Heli(Xiamen) Network Service Co., LTD.",2025-07-19
.クラウド,generic,"Amazon Registry Services, Inc.",2025-07-19
.通販,generic,"Amazon Registry Services, Inc.",2025-07-19
.网店,generic,Zodiac Taurus Ltd.,2025-07-19
.संगठन,generic,Public Interest Registry,2025-07-19
.餐厅,generic,Internet DotTrademark Organisation Limited,2025-07-19
.网络,generic,China Internet Network Information Center (CNNIC),2025-07-19
.ком,generic,VeriSign Sarl,2025-07-19
.亚马逊,generic,"Amazon Registry Services, Inc.",2025-07-19
.诺基亚,generic,Not assigned,2025-07-19
.食品,generic,"Amazon Registry Services, Inc.",2025-07-19
.飞利浦,generic,Koninklijke Philips N.V.,2025-07-19
.手表,generic,Not assigned,2025-07-19
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2025-07-19
‏.ارامكو‎,generic,Aramco Services Company,2025-07-19
‏.العليان‎,generic,Competrol (Luxembourg) Sarl,2025-07-19
‏.اتصالات‎,generic,Not assigned,2025-07-19
‏.بازار‎,generic,CORE Association,2025-07-19
‏.موبايلي‎,generic,Not assigned,2025-07-19
‏.ابوظبي‎,generic,Abu Dhabi Systems and Information Centre,2025-07-19
‏.كاثوليك‎,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),2025-07-19
‏.همراه‎,generic,Emergency Back-End Registry Operator Program - ICANN,2025-07-19
.닷컴,generic,VeriSign Sarl,2025-07-19
.政府,generic,"Net-Chinese Co., Ltd.",2025-07-19
‏.شبكة‎,generic,International Domain Registry Pty. Ltd.,2025-07-19
‏.بيتك‎,generic,Kuwait Finance House,2025-07-19
‏.عرب‎,generic,League of Arab States,2025-07-19
.机构,generic,Public Interest Registry,2025-07-19
.组织机构,generic,Public Interest Registry,2025-07-19
.健康,generic,Stable Tone Limited,2025-07-19
.招聘,generic,Jiang Yu Liang Cai Technology Company Limited,2025-07-19
.рус,generic,Rusnames Limited,2025-07-19
.珠宝,generic,Not assigned,2025-07-19
.大拿,generic,VeriSign Sarl,2025-07-19
.みんな,generic,Charleston Road Registry Inc.,2025-07-19
.グーグル,generic,Charleston Road Registry Inc.,2025-07-19
.世界,generic,Stable Tone Limited,2025-07-19
.書籍,generic,"Amazon Registry Services, Inc.",2025-07-19
.网址,generic,"KNET Co., Ltd",2025-07-19
.닷넷,generic,VeriSign Sarl,2025-07-19
.コム,generic,VeriSign Sarl,2025-07-19
.天主教,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),2025-07-19
.游戏,generic,"Binky Moon, LLC",2025-07-19
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-07-19
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-07-19
.企业,generic,"Binky Moon, LLC",2025-07-19
.信息,generic,"Beijing Tele-info Technology Co., Ltd.",2025-07-19
.嘉里大酒店,generic,Kerry Trading Co. Limited,2025-07-19
.嘉里,generic,Kerry Trading Co. Limited,2025-07-19
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2025-07-19
.政务,generic,China Organizational Name Administration Center,2025-07-19
.xperia,generic,Not assigned,2025-07-19
.xyz,generic,XYZ.COM LLC,2025-07-19
.yachts,generic,XYZ.COM LLC,2025-07-19
.yahoo,generic,Yahoo Inc.,2025-07-19
.yamaxun,generic,"Amazon Registry Services, Inc.",2025-07-19
.yandex,generic,YANDEX LLC,2025-07-19
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2025-07-19
.yoga,generic,"Registry Services, LLC",2025-07-19
.yokohama,generic,"GMO Registry, Inc.",2025-07-19
.you,generic,"Amazon Registry Services, Inc.",2025-07-19
.youtube,generic,Charleston Road Registry Inc.,2025-07-19
.yun,generic,QIHOO 360 TECHNOLOGY CO. LTD.,2025-07-19
.zappos,generic,"Amazon Registry Services, Inc.",2025-07-19
.zara,generic,"Industria de Diseño Textil, S.A. (INDITEX, S.A.)",2025-07-19
.zero,generic,"Amazon Registry Services, Inc.",2025-07-19
.zip,generic,Charleston Road Registry Inc.,2025-07-19
.zippo,generic,Not assigned,2025-07-19
.zone,generic,"Binky Moon, LLC",2025-07-19
.zuerich,generic,Kanton Zürich (Canton of Zurich),2025-07-19
